Module,SubTopic,Difficulty,Question,OptionA,OptionB,OptionC,Answer,Explanation
Mock,Exam 1,Hard (Exam Level),Standard I(A): If a country has no securities laws a CFA member must follow?,The Code and Standards,Local Law,US Law,OptionA,Correct - When local law is silent you must follow the Code and Standards
Mock,Exam 1,Hard (Exam Level),Standard I(B): An analyst pays for their own travel to a company headquarters. This is?,Best Practice to maintain independence,Required by law,A violation of Standard I(B),OptionA,Correct - Paying your own way ensures no perception of bribery or influence
Mock,Exam 1,Hard (Exam Level),Standard I(C): Using a third-party chart in a report without citation is?,Plagiarism and a violation,Allowed if you paid for the report,Allowed if you modify the colors,OptionA,Correct - You must acknowledge the source of data
Mock,Exam 1,Hard (Exam Level),Standard I(D): A member is convicted of felony assault. Does this violate the Code?,Yes - it reflects poorly on professional integrity,No - it is not financial,Only if it happened at work,OptionA,Correct - Felonies generally reflect on professional reputation regardless of context
Mock,Exam 1,Hard (Exam Level),Standard II(A): You overhear a CEO on a phone in a restaurant discussing a merger. Can you trade?,Yes - this is the Mosaic Theory (public observation),No - it is Material Nonpublic Information (MNPI),Yes - if you tell the SEC first,OptionB,Correct - This is non-public info; eavesdropping does not make it public
Mock,Exam 1,Hard (Exam Level),Standard II(B): Placing an order to buy at the close to inflate the closing price is?,Marking the Close (Manipulation),Window Dressing,Standard Trading,OptionA,Correct - Manipulating the closing price is a specific violation
Mock,Exam 1,Hard (Exam Level),Standard III(A): A client asks for a trade that lowers the portfolio return but aligns with their moral beliefs. You should?,Follow the client's instructions,Refuse as it violates fiduciary duty,Resign,OptionA,Correct - Client mandates (including moral ones) guide the duty of loyalty
Mock,Exam 1,Hard (Exam Level),Standard III(B): A 25-year-old client wants to invest 100% in high-risk crypto. Their IPS says 'Conservative Growth'. You should?,Refuse until the IPS is updated,Do it,Do it and document it,OptionA,Correct - You cannot violate the IPS; you must update the mandate first
Mock,Exam 1,Hard (Exam Level),Standard III(C): Presenting a simulated backtest as 'Historical Performance' is?,Misrepresentation,Allowed with a footnote,Standard Practice,OptionA,Correct - You must clearly distinguish between real and simulated returns
Mock,Exam 1,Hard (Exam Level),Standard III(D): A police officer asks for your client's records without a warrant. You should?,Refuse to protect confidentiality,Hand them over,Ask your boss,OptionA,Correct - Confidentiality is only broken by valid legal process (subpoena) or law
Mock,Exam 1,Hard (Exam Level),Standard IV(A): A member plans to leave their firm. They copy the client list to a USB drive. This is?,A violation of Loyalty (Theft),Allowed if they brought the clients in,Standard networking,OptionA,Correct - Client lists are firm property; taking them is theft
Mock,Exam 1,Hard (Exam Level),Standard IV(B): A client offers a $5000 bonus if the portfolio hits 10%. You must?,Obtain written consent from employer before accepting,Notify employer only,Reject it,OptionA,Correct - Future performance arrangements require prior written consent
Mock,Exam 1,Hard (Exam Level),Standard IV(C): A supervisor delegates compliance checks to a junior. The junior fails. The supervisor is?,Liable for failure to supervise,Safe because they delegated,Not responsible,OptionA,Correct - You can delegate the task but not the responsibility
Mock,Exam 1,Hard (Exam Level),Standard V(A): Relying on a popular blog for investment data without verifying the source is?,A violation of Diligence,Allowed,Smart,OptionA,Correct - You must have a reasonable basis; unverified blogs do not provide that
Mock,Exam 1,Hard (Exam Level),Standard V(B): An analyst says 'This stock is guaranteed to double.' This violates?,Distinction between Fact and Opinion,Standard I(A),Standard III(B),OptionA,Correct - Future performance is opinion; stating it as fact is a violation
Mock,Exam 1,Hard (Exam Level),Standard V(C): A client closes their account. What happens to their records?,They must be retained for the required period (e.g. 7 years),They should be deleted immediately,Sent to the client only,OptionA,Correct - Retention duties survive the account closure
Mock,Exam 1,Hard (Exam Level),Standard VI(A): You are a director at a charity that is also a client. You must?,Disclose this conflict to your employer and the client,Resign from the charity,Keep it secret,OptionA,Correct - Board service creates a potential conflict of interest
